success,trial_type,trial_index,time_elapsed,internal_node_id,line_1,line_2,line_3,rt,phase,lag,key,start_reward,decay,n_travel_steps,press_success_prob_travel,press_success_prob_harvest,reward_noise,start_reward_noise,time_min,travel_key,harvest_key,person_pos,tree_pos,reward_obs,reward_true,exit,fail
TRUE,travel,2,16635,0.0-2.0,,,,,TRAVEL,175.8849993,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,14,27,,,,
FALSE,travel,2,16635,0.0-2.0,,,,,TRAVEL,175.8849993,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,15,27,,,,
FALSE,travel,2,16811,0.0-2.0,,,,,TRAVEL,175.5649997,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,15,27,,,,
TRUE,travel,2,16955,0.0-2.0,,,,,TRAVEL,143.8250002,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,15,27,,,,
FALSE,travel,2,16955,0.0-2.0,,,,,TRAVEL,143.8250002,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,16,27,,,,
TRUE,travel,2,17131,0.0-2.0,,,,,TRAVEL,175.7149994,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,16,27,,,,
FALSE,travel,2,17131,0.0-2.0,,,,,TRAVEL,175.7149994,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,17,27,,,,
TRUE,travel,2,17307,0.0-2.0,,,,,TRAVEL,175.6250001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,17,27,,,,
FALSE,travel,2,17307,0.0-2.0,,,,,TRAVEL,175.6250001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,18,27,,,,
TRUE,travel,2,17483,0.0-2.0,,,,,TRAVEL,175.7349996,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,18,27,,,,
FALSE,travel,2,17483,0.0-2.0,,,,,TRAVEL,175.7349996,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,19,27,,,,
TRUE,travel,2,17659,0.0-2.0,,,,,TRAVEL,175.6750001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,19,27,,,,
FALSE,travel,2,17659,0.0-2.0,,,,,TRAVEL,175.6750001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,20,27,,,,
TRUE,travel,2,17867,0.0-2.0,,,,,TRAVEL,207.7799998,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,20,27,,,,
FALSE,travel,2,17867,0.0-2.0,,,,,TRAVEL,207.7799998,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,21,27,,,,
TRUE,travel,2,18043,0.0-2.0,,,,,TRAVEL,175.6449994,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,21,27,,,,
FALSE,travel,2,18043,0.0-2.0,,,,,TRAVEL,175.6449994,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,22,27,,,,
FALSE,travel,2,18219,0.0-2.0,,,,,TRAVEL,175.6649995,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,22,27,,,,
TRUE,travel,2,18427,0.0-2.0,,,,,TRAVEL,207.8499999,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,22,27,,,,
FALSE,travel,2,18427,0.0-2.0,,,,,TRAVEL,207.8499999,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,23,27,,,,
TRUE,travel,2,18619,0.0-2.0,,,,,TRAVEL,191.6100001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,23,27,,,,
FALSE,travel,2,18619,0.0-2.0,,,,,TRAVEL,191.6100001,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,24,27,,,,
FALSE,travel,2,18811,0.0-2.0,,,,,TRAVEL,191.8849992,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,24,27,,,,
FALSE,travel,2,18987,0.0-2.0,,,,,TRAVEL,175.7500004,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,24,27,,,,
